marca=CHANA, modelo=Family 1.0 8V 53cv (Perua), ano=2005, renavam=44189535557, placa=HYW-4380, cor=Dourado
marca=LOBINI, modelo=H1 1.8 20V Turbo 180cv 2p, ano=2005, renavam=97322732150, placa=DUF-3053, cor=Marrom
marca=BRM, modelo=Buggy W. Turing/Luxo/M-11 Absolvt 1.6 8V, ano=2005, renavam=91116910732, placa=CNJ-4477, cor=Vermelho
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=49357121255, placa=GBU-6597, cor=Bege
marca=Fiat, modelo=Punto T-JET 1.4 16V Turbo 5p, ano=2009, renavam=26277769691, placa=LLD-7300, cor=Verde
marca=Wake, modelo=Way 1.8 Total Flex 8V Mec., ano=2009, renavam=31611939827, placa=LRC-0582, cor=Preto
marca=VW - VolksWagen, modelo=Gol Rallye 1.6 T. Flex 16V 5p, ano=2015, renavam=95105152486, placa=LOM-1992, cor=Marrom
marca=Nissan, modelo=Sentra GXE/ SER, ano=1991, renavam=73868585640, placa=LMC-3013, cor=Bege
marca=RAM, modelo=2500 LARAMIE SLT 6.7 TDI  CD 4x4 Diesel, ano=2012, renavam=73868585640, placa=LMC-3013, cor=Bege
marca=HAFEI, modelo=Towner Furg, ano=2007, renavam=69014132254, placa=KZF-6900, cor=Cinza
marca=Mercedes-Benz, modelo=Sprinter 313 VAN Street Std. 16L. Dies., ano=2005, renavam=64068393802, placa=LNM-8114, cor=Verde
marca=Nissan, modelo=Frontier SE Serrana CD 4x4 2.8 TB Dies, ano=2004, renavam=09493396741, placa=KOO-1612, cor=Vermelho
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=26277769691, placa=LLD-7300, cor=Verde
marca=BMW, modelo=120iA Cabrio 2.0 16V 156cv 2p, ano=2009, renavam=05682683800, placa=KPI-7186, cor=Dourado
marca=RAM, modelo=2500 LARAMIE SLT TROPIV. 6.7 4x4 Diesel, ano=2012, renavam=45103348352, placa=KTD-9004, cor=Prata
marca=Asia Motors, modelo=AM-825 Super Luxo 4.0 Diesel, ano=1994, renavam=92295679346, placa=KUI-0717, cor=Verde
marca=Mahindra, modelo=SCORPIO GLX SUV 2.6 TB Diesel CRDe 4WD, ano=2008, renavam=33541171905, placa=KYW-8504, cor=Amarelo
marca=HAFEI, modelo=Towner Jr. Pick-up 1.0 8V 48cv  CS 2p, ano=2010, renavam=71333554000, placa=LEP-2108, cor=Bege
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=84416043462, placa=KTO-6496, cor=Laranja
marca=Ford, modelo=Pampa Ghia 1.6/1.8/DUO, ano=1987, renavam=19680487108, placa=KSP-6603, cor=Preto
marca=HAFEI, modelo=Towner Pick_up Ba, ano=2011, renavam=19680487108, placa=KSP-6603, cor=Preto
marca=CHANGAN, modelo=MINI STAR CSB 1.0 8V 53cv (Pick-Up B, ano=2012, renavam=19680487108, placa=KSP-6603, cor=Preto
marca=Nissan, modelo=Pick-Up King Cab DX 2.7 4x2 Diesel, ano=1992, renavam=45103348352, placa=KTD-9004, cor=Prata
marca=Toyota, modelo=RAV4 2.0 4x4 16V Aut., ano=1999, renavam=33541171905, placa=KYW-8504, cor=Amarelo
marca=Saab, modelo=9000 CD 2.3 Turbo, ano=1992, renavam=32307376034, placa=LOF-0177, cor=Bege
marca=Toyota, modelo=ETIOS XLS Sedan 1.5 Flex 16V 4p Mec., ano=2013, renavam=30802624210, placa=KPO-7850, cor=Laranja
marca=Maserati, modelo=GranCabrio 4.7 V8 32V 440cv, ano=2010, renavam=62236696866, placa=KWX-9237, cor=Cinza
marca=Envemo, modelo=Camper 2.5/GL/GLS/Master 4.1, ano=1990, renavam=69014132254, placa=KZF-6900, cor=Cinza
marca=Kia Motors, modelo=Carnival EX 3.8 V6 24V 242cv Aut., ano=2006, renavam=62813752965, placa=LUF-9350, cor=Amarelo
marca=Audi, modelo=S3 Sportback 2.0 TFSI Quattro S Tronic, ano=2010, renavam=07922260203, placa=LPO-0702, cor=Vermelho
marca=Suzuki, modelo=Grand Vitara 2.5 V6 5p Aut., ano=1998, renavam=81959809402, placa=LPD-7396, cor=Azul
marca=Lada, modelo=Samara 1.3/ 1.5, ano=1991, renavam=45103348352, placa=KTD-9004, cor=Prata
marca=Rolls-Royce, modelo=Phantom 6.7 V12 Aut., ano=2013, renavam=45103348352, placa=KTD-9004, cor=Prata
marca=Audi, modelo=S6 4.2 Avant V8 40V Quattro Tiptronic, ano=2001, renavam=81959809402, placa=LPD-7396, cor=Azul
marca=Dodge, modelo=Ram 2500 H.DUTY 5.9 SLT TDI CS 4x4 Dies., ano=2006, renavam=57915800644, placa=KPY-2823, cor=Vermelho
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=74241232515, placa=LUY-6996, cor=Prata
marca=Seat, modelo=Cordoba 1.6L, ano=1999, renavam=45103348352, placa=KTD-9004, cor=Prata
marca=Nissan, modelo=Sentra S 2.0 FlexStart 16V Aut., ano=2017, renavam=71333554000, placa=LEP-2108, cor=Bege
marca=Buggy, modelo=Buggy 1.6/ TST/ RS 1.6 4-Lug., ano=1985, renavam=07922260203, placa=LPO-0702, cor=Vermelho
marca=GEELY, modelo=GC2 1.0 12V 68cv 5p, ano=2015, renavam=94007061658, placa=KYI-3315, cor=Branco
marca=Mitsubishi, modelo=Lancer 2.0 16V 160cv Aut., ano=2011, renavam=19680487108, placa=KSP-6603, cor=Preto
marca=Mercedes-Benz, modelo=Sprinter 515 Chassi E. L. 2.2 Diesel, ano=2012, renavam=07922260203, placa=LPO-0702, cor=Vermelho
marca=Suzuki, modelo=Jimny 4STREET 1.3 16V, ano=2012, renavam=50719698851, placa=LEE-4252, cor=Bege
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=50719698851, placa=LEE-4252, cor=Bege
marca=Buggy, modelo=Buggy 1.6/ TST/ RS 1.6 4-Lug., ano=1985, renavam=71333554000, placa=LEP-2108, cor=Bege
marca=Toyota, modelo=Hilux CD SRV 4x4 2.8 TDI Diesel Aut., ano=2016, renavam=50719698851, placa=LEE-4252, cor=Bege
marca=CHERY, modelo=Face 1.3 16V/1.3 16v Flex.Mec, ano=2010, renavam=50719698851, placa=LEE-4252, cor=Bege
marca=Rolls-Royce, modelo=Phantom 6.7 V12 Aut., ano=2013, renavam=50719698851, placa=LEE-4252, cor=Bege
marca=GEELY, modelo=EC7 1.8 16V 130cv 4p Mec., ano=2014, renavam=50719698851, placa=LEE-4252, cor=Bege
marca=Agrale, modelo=MARRU, ano=2004, renavam=07922260203, placa=LPO-0702, cor=Vermelho
marca=Renault, modelo=LOGAN Exclusive Hi-Flex 1.6 8V 4p, ano=2015, renavam=48162521353, placa=LJT-8352, cor=Cinza
marca=Cross Lander, modelo=CL-330 2.8 132cv 4x4 TB Int. Diesel, ano=2006, renavam=50719698851, placa=LEE-4252, cor=Bege
marca=Troller, modelo=T-4 4x4 3.2 TGV tdi Cap. R, ano=2013, renavam=50719698851, placa=LEE-4252, cor=Bege
marca=LIFAN, modelo=320 ELITE 1.3 16V 88cv 5p, ano=2009, renavam=48162521353, placa=LJT-8352, cor=Cinza
marca=Audi, modelo=A6 2.4 Avant V6 30V Quattro Mec., ano=2001, renavam=77085853460, placa=KOU-2747, cor=Prata
marca=Jeep, modelo=Renegade Lim. Edit. 1.8 4x2 Flex 16V Aut, ano=2016, renavam=48162521353, placa=LJT-8352, cor=Cinza
marca=Bugre, modelo=Buggy IV e V, ano=1985, renavam=67598065114, placa=KRX-5941, cor=Dourado
marca=Toyota, modelo=Hilux CD DLX 4x4 2.8 Diesel, ano=1997, renavam=48162521353, placa=LJT-8352, cor=Cinza
marca=VW - VolksWagen, modelo=Gol SELE, ano=2011, renavam=35312037913, placa=LOF-6144, cor=Bege
marca=CHANGAN, modelo=MINI STAR CE 1.0 8V 53cv (Pick-Up), ano=2011, renavam=81959809402, placa=LPD-7396, cor=Azul
marca=SSANGYONG, modelo=Musso GL 2.9 TB Diesel Int. 120cv, ano=2001, renavam=16906249119, placa=KQM-9793, cor=Vermelho
marca=Pontiac, modelo=Trans-AM 5.7 V8, ano=1991, renavam=16906249119, placa=KQM-9793, cor=Vermelho
marca=Mitsubishi, modelo=Pajero Full GLS/GLS/PKHPE 3.2 Dies.TI 5p, ano=2001, renavam=16906249119, placa=KQM-9793, cor=Vermelho
marca=BRM, modelo=Buggy W. Turing/Luxo/M-11 Absolvt 1.6 8V, ano=2005, renavam=67598065114, placa=KRX-5941, cor=Dourado
marca=VW - VolksWagen, modelo=Gol Trendline 1.6 T.Flex 8V 3p, ano=2015, renavam=16906249119, placa=KQM-9793, cor=Vermelho
marca=MG, modelo=MG6 1.8 16V Turbo 170cv Aut., ano=2011, renavam=47070654812, placa=LIT-2694, cor=Amarelo
marca=VW - VolksWagen, modelo=Gol City 1.6 Mi 8V 4p, ano=2002, renavam=47070654812, placa=LIT-2694, cor=Amarelo
marca=GEELY, modelo=GC2 1.0 12V 68cv 5p, ano=2015, renavam=43273371812, placa=LUN-8595, cor=Prata
marca=Acura, modelo=Integra GS 1.8, ano=1991, renavam=43273371812, placa=LUN-8595, cor=Prata
marca=Fiat, modelo=Palio Week.Adv. ITAL. Dual. 1.8 Flex 16V, ano=2012, renavam=23169311510, placa=LUF-6294, cor=Preto
marca=Plymouth, modelo=Sundance 2.5, ano=1992, renavam=58075678286, placa=KMQ-7519, cor=Marrom
marca=AM Gen, modelo=Hummer Wagon 6.5 4x4 Diesel TB, ano=1998, renavam=23169311510, placa=LUF-6294, cor=Preto
marca=Gurgel, modelo=Carajas/ Tocantis/ Xavante/ Vip, ano=1985, renavam=23169311510, placa=LUF-6294, cor=Preto
marca=BMW, modelo=330i MotorSport 3.0 24V 4p, ano=2001, renavam=47070654812, placa=LIT-2694, cor=Amarelo
marca=Isuzu, modelo=Rodeo 3.2 V6, ano=1992, renavam=23169311510, placa=LUF-6294, cor=Preto
marca=Daihatsu, modelo=Cuore CS/CSL, ano=1995, renavam=04899627768, placa=LNW-3893, cor=Bege
marca=Wake, modelo=Way 1.6 Total Flex 8V Mec., ano=2009, renavam=28225106426, placa=KVU-0097, cor=Verde
marca=Isuzu, modelo=Hombre 2 WD XS 2.2, ano=1995, renavam=23169311510, placa=LUF-6294, cor=Preto
marca=LAMBORGHINI, modelo=Gallardo Spyder Performante LP570-4, ano=2012, renavam=23169311510, placa=LUF-6294, cor=Preto
marca=Lotus, modelo=Elan S-2 1.6 16V, ano=1995, renavam=97681455813, placa=LCB-2997, cor=Dourado
marca=Dodge, modelo=Ram 2500 TROPIVAN 5.9 SLT TDI 4x4 Dies., ano=2005, renavam=11880018718, placa=LCK-7805, cor=Bege
marca=Jaguar, modelo=S-Type 3.0/ 3.0 SE V6, ano=1999, renavam=64915467670, placa=LHB-8681, cor=Azul
marca=Land Rover, modelo=Range R.Sport SE 3.0 4x4 TDV6/SDV6 Dies., ano=2010, renavam=16906249119, placa=KQM-9793, cor=Vermelho
marca=Gurgel, modelo=Carajas/ Tocantis/ Xavante/ Vip, ano=1985, renavam=23169311510, placa=LUF-6294, cor=Preto
marca=JPX, modelo=Jipe Montez 4x4 CD Teto R, ano=1994, renavam=97681455813, placa=LCB-2997, cor=Dourado
marca=LIFAN, modelo=320 ELITE 1.3 16V 88cv 5p, ano=2009, renavam=52702295720, placa=KVB-7135, cor=Prata
marca=Cadillac, modelo=Seville 4.6, ano=1991, renavam=16906249119, placa=KQM-9793, cor=Vermelho
marca=RELY, modelo=LINK 1.3 16V 5p, ano=2014, renavam=04899627768, placa=LNW-3893, cor=Bege
marca=Engesa, modelo=Engesa 4x4 4.0 Diesel, ano=1986, renavam=04899627768, placa=LNW-3893, cor=Bege
marca=Toyota, modelo=Hilux SW4 4x4 2.4 8V, ano=1993, renavam=79597791745, placa=LDF-5888, cor=Branco
marca=Lotus, modelo=Elan S-2 1.6 16V, ano=1995, renavam=78504902888, placa=KYX-2607, cor=Verde
marca=AM Gen, modelo=Hummer Wagon 6.5 4x4 Diesel TB, ano=1998, renavam=35988383929, placa=KQJ-2442, cor=Azul
marca=Troller, modelo=RF Esport T-4 4x4 2.0 Cap. Lona, ano=1998, renavam=04899627768, placa=LNW-3893, cor=Bege
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=04899627768, placa=LNW-3893, cor=Bege
marca=Mercedes-Benz, modelo=VITO TOURER 119 Comf. 2.0 Flex 9Lug. Mec, ano=2016, renavam=71435490370, placa=KMW-4658, cor=Branco
marca=Alfa Romeo, modelo=156 SportWagon 2.5 V6 24V 190cv 4p Aut., ano=2003, renavam=28225106426, placa=KVU-0097, cor=Verde
marca=LAMBORGHINI, modelo=Gallardo Spider LP560-4, ano=2009, renavam=28225106426, placa=KVU-0097, cor=Verde
marca=Kia Motors, modelo=Carens LS 1.8 16V 130cv Mec., ano=2001, renavam=40594628872, placa=LAU-6280, cor=Vermelho
marca=Audi, modelo=RS6 4.0 Avant FSI BI-TB Quattro Tip. 5p, ano=2014, renavam=35988383929, placa=KQJ-2442, cor=Azul
marca=EFFA, modelo=Plutus 3.2 8V 4x2 CD Turbo Diesel, ano=2011, renavam=83346406920, placa=LGQ-6230, cor=Bege
marca=CHERY, modelo=S-18 1.3 16V Flex Mec. 5p, ano=2010, renavam=86481885509, placa=KWS-0577, cor=Marrom
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=28225106426, placa=KVU-0097, cor=Verde
marca=Troller, modelo=T-4 DESERT STORM 4x4 3.0 TB Int Diesel, ano=2012, renavam=76789834022, placa=KUZ-5389, cor=Marrom
marca=Alfa Romeo, modelo=164 3.0 V6, ano=1991, renavam=52702295720, placa=KVB-7135, cor=Prata
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=28225106426, placa=GSP-0097, cor=Verde
marca=LIFAN, modelo=530 TALENT 1.5 16V 103cv 4p, ano=2015, renavam=76789834022, placa=GRX-5389, cor=Marrom
marca=LAMBORGHINI, modelo=Gallardo Coupe Superleggera LP570-4, ano=2010, renavam=64915467670, placa=HCG-8681, cor=Azul
marca=Fibravan, modelo=Buggy Vip 1.6 8V Total Flex, ano=2007, renavam=64915467670, placa=HCG-8681, cor=Azul
marca=Mahindra, modelo=SCORPIO GLX SUV 2.6 TB Diesel CRDe 4WD, ano=2008, renavam=57823545125, placa=HBL-8983, cor=Branco
marca=Mercedes-Benz, modelo=Classe B 180 1.7 116cv Aut., ano=2010, renavam=52702295720, placa=GRY-7135, cor=Prata
marca=Porsche, modelo=911 Carrera 4 Cabriolet 3.0 370cv, ano=2017, renavam=64915467670, placa=HCG-8681, cor=Azul
marca=SHINERAY, modelo=SY1020 T20 TRUCKS, ano=2012, renavam=64915467670, placa=HCG-8681, cor=Azul
marca=Alfa Romeo, modelo=156 SportWagon 2.5 V6 24V 190cv 4p Aut., ano=2003, renavam=40594628872, placa=GWX-6280, cor=Vermelho
marca=CHANGAN, modelo=MINI STAR CE 1.0 8V 53cv (Pick-Up), ano=2011, renavam=57823545125, placa=HBL-8983, cor=Branco
marca=Seat, modelo=Inca 1.6L, ano=1999, renavam=50660973274, placa=HGG-7988, cor=Preto
marca=Saab, modelo=9000 CD 2.3 Turbo, ano=1992, renavam=52702295720, placa=GRY-7135, cor=Prata
marca=VW - VolksWagen, modelo=SPACEFOX HIGHLINE I MOT. 1.6 T.Flex 16V, ano=2015, renavam=98962306321, placa=HLE-6587, cor=Laranja
marca=Daihatsu, modelo=Charade Sedan 1.3i 16V, ano=1994, renavam=83346406920, placa=HBX-6230, cor=Bege
marca=Fibravan, modelo=Buggy Off Road 1.8 8V, ano=2009, renavam=17057888935, placa=GXZ-6647, cor=Preto
marca=Chrysler, modelo=Stratus LE 2.0, ano=1996, renavam=21123949206, placa=GXY-0356, cor=Amarelo
marca=VW - VolksWagen, modelo=Golf GTi 2.0, ano=1994, renavam=05006387250, placa=HKV-8635, cor=Laranja
marca=Matra, modelo=Pick-Up CD 4x4 Curto/Longo 2.5 TDI Dies., ano=2003, renavam=83302507828, placa=HBG-9715, cor=Preto
marca=smart, modelo=fortwo BRABUS coup, ano=2008, renavam=06053575643, placa=HNX-5361, cor=Vermelho
marca=Fibravan, modelo=Buggy Plus 1.6 8V, ano=1989, renavam=61516202261, placa=HNC-8038, cor=Prata
marca=Wake, modelo=Way 1.8 Total Flex 8V Mec., ano=2009, renavam=34134439117, placa=GUF-7477, cor=Verde
marca=FOTON, modelo=AUMARK 3.50AK 2.8 4x2 TB Diesel, ano=2010, renavam=58117065902, placa=HJQ-2183, cor=Prata
marca=Agrale, modelo=MARRU, ano=2008, renavam=83797720459, placa=GXF-4377, cor=Branco
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=49592640763, placa=GZU-9321, cor=Preto
marca=Daihatsu, modelo=Cuore TS/TSL, ano=1995, renavam=17828171500, placa=GVZ-0055, cor=Verde
marca=Hyundai, modelo=HB20 Copa do Mundo 1.0 Flex 12V Mec., ano=2014, renavam=82797336847, placa=GTT-8460, cor=Preto
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=95317207098, placa=HKY-7642, cor=Vermelho
marca=JINBEI, modelo=TOPIC ESCOLAR L 2.2 8V/ 2.0 16V 4p, ano=2009, renavam=34334153349, placa=GUO-4123, cor=Prata
marca=Matra, modelo=Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies., ano=2003, renavam=94445408241, placa=HDQ-4911, cor=Branco
marca=Pontiac, modelo=Trans-Sport SE 3.1, ano=1991, renavam=82797336847, placa=GTT-8460, cor=Preto
marca=Land Rover, modelo=Discovery ES 3.9 V8, ano=1996, renavam=70913364097, placa=GPI-2272, cor=Azul
marca=Fibravan, modelo=Buggy Vip 1.8 8V, ano=2006, renavam=50317604305, placa=HBX-5774, cor=Amarelo
marca=ASTON MARTIN, modelo=DB9 Volante 6.0 V12 470cv, ano=2011, renavam=07270879835, placa=HOH-7695, cor=Amarelo
marca=Volvo, modelo=XC 90 4.4 V8 315cv AWD 5p, ano=2005, renavam=58369092114, placa=HEH-6217, cor=Vermelho
marca=Acura, modelo=NSX 3.0, ano=1991, renavam=27676481991, placa=GZM-8272, cor=Cinza
marca=Audi, modelo=A4 3.0 Cabriolet 30V 218cv Multitronic, ano=2003, renavam=28007329334, placa=HGP-1993, cor=Azul
marca=VW - VolksWagen, modelo=Fox PRIME/Higli. 1.6 Total Flex 8V 5p, ano=2010, renavam=27676481991, placa=GZM-8272, cor=Cinza
marca=BRM, modelo=Buggy W. Turing/Luxo/M-11 Absolvt 1.6 8V, ano=2005, renavam=71277821591, placa=GWG-6601, cor=Laranja
marca=Dodge, modelo=Ram 2500 LARAMIE SLT 6.7 TDI CD 4x4 Dies, ano=2012, renavam=31721977553, placa=HIO-5677, cor=Branco
marca=LAMBORGHINI, modelo=HURACAN Coupe LP 610-4, ano=2015, renavam=56674825140, placa=GTA-0669, cor=Marrom
marca=Bugre, modelo=Buggy IV e V, ano=1985, renavam=65234179052, placa=GTR-2778, cor=Amarelo
marca=VW - VolksWagen, modelo=Gol 1.6 Mi/ Power 1.6 Mi 4p, ano=1998, renavam=36517285011, placa=HLM-1288, cor=Branco
marca=Suzuki, modelo=Sidekick Canvas, ano=1995, renavam=40501916414, placa=HGV-6835, cor=Bege
marca=Volvo, modelo=V40 2.0, ano=1997, renavam=28823328716, placa=GTJ-7567, cor=Bege
marca=FOTON, modelo=AUMARK 3.5 - 11DT 2.8 4x2 TB Diesel, ano=2014, renavam=75925900909, placa=HIR-4377, cor=Dourado
marca=Lotus, modelo=Elan S-2 1.6 16V, ano=1995, renavam=36210032813, placa=HII-5884, cor=Marrom
marca=MINI, modelo=COOPER S Clubman 1.6 Aut., ano=2008, renavam=51437677340, placa=HJL-5435, cor=Azul
marca=LOBINI, modelo=H1 1.8 20V Turbo 180cv 2p, ano=2005, renavam=13562128923, placa=HGV-1503, cor=Preto
marca=Troller, modelo=RF Esport T-4 4x4 2.0 Cap. R, ano=1999, renavam=01761610675, placa=GSE-5817, cor=Laranja
marca=Land Rover, modelo=Freelander2 I6 S 3.2 232cv Aut. 5p, ano=2007, renavam=94246123921, placa=HCM-9764, cor=Azul
marca=Dodge, modelo=Dakota Sport 5.2 V8, ano=1997, renavam=56674825140, placa=GTA-0669, cor=Marrom
marca=Isuzu, modelo=Hombre 2 WD XS 2.2, ano=1995, renavam=94445408241, placa=HDQ-4911, cor=Branco
marca=VW - VolksWagen, modelo=Quantum GLi / GL 1.8/ 2.0, ano=1987, renavam=51675758798, placa=GRA-2131, cor=Cinza
marca=BMW, modelo=323i Confort, ano=1998, renavam=48321629080, placa=HEN-5554, cor=Bege
marca=Daewoo, modelo=Nubira SW CDX 2.0 16V Mec., ano=1998, renavam=94445408241, placa=HDQ-4911, cor=Branco
marca=MG, modelo=550 1.8 16V Turbo 170cv Aut., ano=2010, renavam=57315336297, placa=GWK-1519, cor=Laranja
marca=CHERY, modelo=QQ 1.0 ACT FL 12V 69cv 5p, ano=2015, renavam=18265792048, placa=HIZ-6861, cor=Verde
marca=ASTON MARTIN, modelo=Vanquish V12 6.0 565cv, ano=2014, renavam=70913364097, placa=GPI-2272, cor=Azul
marca=Matra, modelo=Pick-Up CD 4x4 Curto/Longo 2.5 TDI Dies., ano=2003, renavam=35700299702, placa=GWR-9631, cor=Marrom
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=22799843378, placa=GWI-6626, cor=Azul
marca=VW - VolksWagen, modelo=up! high 1.0 Total Flex 12V 5p, ano=2014, renavam=48214126298, placa=GTG-6745, cor=Prata
marca=Fyber, modelo=Buggy 2000W 1.8 8V/ 1.8 8V Flex, ano=2004, renavam=43971401407, placa=GXF-1195, cor=Vermelho
marca=LAMBORGHINI, modelo=Gallardo Coupe Superleggera LP570-4, ano=2010, renavam=02370896560, placa=HLT-2720, cor=Vermelho
marca=Wake, modelo=Way 1.8 Total Flex 8V Mec., ano=2009, renavam=75039664947, placa=GYL-7015, cor=Vermelho
marca=Isuzu, modelo=Amigo 2.3 4x2/4x4, ano=1992, renavam=65970406430, placa=HHN-9093, cor=Branco
marca=Lexus, modelo=ES-330 3.3 24V 228cv, ano=2005, renavam=89840076748, placa=GYS-4937, cor=Branco
marca=Jaguar, modelo=S-Type 3.0/ 3.0 SE V6, ano=1999, renavam=50682059605, placa=HHJ-4902, cor=Vermelho
marca=SSANGYONG, modelo=ACTYON 2.3 16V 150cv Aut., ano=2007, renavam=43479427104, placa=GXB-8951, cor=Branco
marca=JINBEI, modelo=TOPIC FURGAO L 2.2 8V/ 2.0 16V 4p, ano=2009, renavam=07996823767, placa=HMA-2193, cor=Marrom
marca=GM - Chevrolet, modelo=COBALT LT 1.8 8V Econo.Flex 4p Aut., ano=2013, renavam=26765016943, placa=GPL-5459, cor=Verde
marca=Volvo, modelo=XC 60 T-6 INCRIPTION 2.0 FWD 5p, ano=2015, renavam=75039664947, placa=GYL-7015, cor=Vermelho
marca=Rolls-Royce, modelo=Ghost 6.6 V12 Aut., ano=2011, renavam=56674825140, placa=GTA-0669, cor=Marrom
marca=Lotus, modelo=Esprit S-4 2.2 16V, ano=1995, renavam=44178898165, placa=GWE-9189, cor=Dourado
marca=smart, modelo=fortwo passion cabrio 1.0 62kw/Tritop, ano=2008, renavam=50066709608, placa=HND-9614, cor=Laranja
marca=Citroen, modelo=C3 Excl. 1.6 VTi Flex Start 16V 5p Mec., ano=2013, renavam=76209837985, placa=GYT-3505, cor=Prata
marca=Suzuki, modelo=SX4 S-CROSS ALLGRIP GLX 1.6 16V Aut., ano=2016, renavam=89564183859, placa=HGT-6555, cor=Amarelo
marca=Acura, modelo=NSX 3.0, ano=1991, renavam=72301966904, placa=GWQ-5650, cor=Branco
marca=Ford, modelo=KA Black 1.6 MPI 8v 95cv, ano=2001, renavam=27044907160, placa=GUK-2967, cor=Marrom
marca=Isuzu, modelo=Hombre 2 WD XS 2.2, ano=1995, renavam=96261715202, placa=HCD-2556, cor=Marrom
marca=EFFA, modelo=V21 Pick-up CS 1.3 16V 2p, ano=2016, renavam=50682059605, placa=HHJ-4902, cor=Vermelho
marca=Lotus, modelo=Elan S-2 1.6 16V, ano=1995, renavam=24943898908, placa=HMP-1862, cor=Laranja
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=16853555199, placa=GXT-9252, cor=Laranja
marca=MINI, modelo=COOPER S 1.6 Aut., ano=2005, renavam=61418634248, placa=HKM-6711, cor=Laranja
marca=Peugeot, modelo=208 Sport 1.6 Flex 16V 5p Mec., ano=2017, renavam=71586661807, placa=GUB-3675, cor=Vermelho
marca=Jaguar, modelo=Daimler LWB 4.0, ano=2000, renavam=01325184508, placa=HCP-7279, cor=Bege
marca=JPX, modelo=Picape Montez 1.9 4x4 Diesel, ano=1994, renavam=43479427104, placa=GXB-8951, cor=Branco
marca=Seat, modelo=Ibiza 1.0 16v 4p, ano=2001, renavam=12880176559, placa=GNT-0867, cor=Preto
marca=Cadillac, modelo=Deville/Eldorado 4.9, ano=1991, renavam=33204028449, placa=GPZ-6628, cor=Azul
marca=RELY, modelo=PICK-UP Q22D CS 1.0 2p, ano=2014, renavam=12880176559, placa=GNT-0867, cor=Preto
marca=Cadillac, modelo=Deville/Eldorado 4.9, ano=1991, renavam=43479427104, placa=GXB-8951, cor=Branco
marca=Maserati, modelo=Ghibli S Q4 3.0 V6 410cv Aut., ano=2014, renavam=89180433360, placa=GMJ-1803, cor=Cinza
marca=MINI, modelo=COOPER S BAYSWATER 1.6 Aut., ano=2013, renavam=96261715202, placa=HCD-2556, cor=Marrom
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=90073530757, placa=HDF-8389, cor=Verde
marca=Matra, modelo=Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies., ano=2003, renavam=96261715202, placa=HCD-2556, cor=Marrom
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=53545777667, placa=GRO-3259, cor=Laranja
marca=Daihatsu, modelo=Charade Sd 1.5/DLX 1.3, ano=1994, renavam=89564183859, placa=HGT-6555, cor=Amarelo
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=70869199413, placa=HLB-4958, cor=Prata
marca=Chrysler, modelo=300 C SRT8 6.1 V8 16V 431cv Aut, ano=2006, renavam=89564183859, placa=HGT-6555, cor=Amarelo
marca=Daewoo, modelo=Super Salon Ace, ano=1994, renavam=72301966904, placa=HVZ-5650, cor=Branco
marca=Renault, modelo=SANDERO STEP. R. CURL Hi-Power 1.6 8V 5p, ano=2016, renavam=72301966904, placa=HVZ-5650, cor=Branco
marca=Agrale, modelo=MARRU, ano=2007, renavam=10243349561, placa=HUG-4100, cor=Preto
marca=Agrale, modelo=MARRU, ano=2008, renavam=10243349561, placa=HUG-4100, cor=Preto
marca=Plymouth, modelo=Gran Voyager LE 2.5, ano=1992, renavam=10243349561, placa=HUG-4100, cor=Preto
marca=Peugeot, modelo=508 THP 1.6 Turbo 16V 4p Aut., ano=2012, renavam=17989450206, placa=HUY-9082, cor=Branco
marca=Peugeot, modelo=206 Soleil 1.6 3p, ano=1999, renavam=86715606600, placa=HXW-7340, cor=Vermelho
marca=Mazda, modelo=Proteg, ano=1993, renavam=23019669045, placa=HWS-6500, cor=Dourado
marca=Nissan, modelo=Sentra GXE/ SER, ano=1991, renavam=72301966904, placa=HVZ-5650, cor=Branco
marca=JINBEI, modelo=TOPIC VAN STD 2.0 16V 4p, ano=2011, renavam=53545777667, placa=HVD-3259, cor=Laranja
marca=Agrale, modelo=MARRU, ano=2008, renavam=87461004874, placa=HXT-1699, cor=Prata
